,Time (s),Frequency,Swara
0,0.0,525.0,M*
1,0.04,501.0,M
2,0.08,501.0,M
3,0.12,580.0,d
4,0.16,612.0,D
5,0.2,596.0,d
6,0.24,596.0,d
7,0.28,612.0,D
8,0.32,649.0,n
9,0.36,668.0,n
10,0.4,668.0,n
11,0.44,668.0,n
12,0.48,668.0,n
13,0.52,126.0,M
14,0.56,735.0,S
15,0.6,735.0,S
16,0.64,735.0,S
17,0.68,668.0,n
18,0.72,668.0,n
19,0.76,668.0,n
20,0.8,668.0,n
21,0.84,649.0,n
22,0.88,596.0,d
23,0.92,596.0,d
24,0.96,596.0,d
25,1.0,596.0,d
26,1.04,525.0,M*
27,1.08,501.0,M
28,1.12,501.0,M
29,1.16,649.0,n
30,1.2,596.0,d
31,1.24,596.0,d
32,1.28,596.0,d
33,1.32,649.0,n
34,1.36,649.0,n
35,1.4,668.0,n
36,1.44,668.0,n
37,1.48,689.0,N
38,1.52,760.0,S
39,1.56,735.0,S
40,1.6,735.0,S
41,1.64,735.0,S
42,1.68,735.0,S
43,1.72,711.0,N
44,1.76,882.0,g
45,1.8,882.0,g
46,1.84,848.0,R
47,1.88,788.0,r
48,1.92,374.0,S
49,1.96,374.0,S
50,2.0,735.0,S
51,2.04,735.0,S
52,2.08,339.0,n
53,2.12,668.0,n
54,2.16,668.0,n
55,2.2,668.0,n
56,2.24,612.0,D
57,2.28,596.0,d
58,2.32,612.0,D
59,2.36,612.0,D
60,2.4,551.0,P
61,2.44,501.0,M
62,2.48,501.0,M
63,2.52,525.0,M*
64,2.56,538.0,M*
65,2.6,612.0,D
66,2.64,612.0,D
67,2.68,612.0,D
68,2.72,649.0,n
69,2.76,668.0,n
70,2.8,668.0,n
71,2.84,760.0,S
72,2.88,788.0,r
73,2.92,380.0,S
74,2.96,760.0,S
75,3.0,788.0,r
76,3.04,882.0,g
77,3.08,760.0,S
78,3.12,817.0,R
79,3.16,848.0,R
80,3.2,848.0,R
81,3.24,882.0,g
82,3.28,882.0,g
83,3.32,882.0,g
84,3.36,882.0,g
85,3.4,882.0,g
86,3.44,882.0,g
87,3.48,848.0,R
88,3.52,817.0,R
89,3.56,817.0,R
90,3.6,788.0,r
91,3.64,394.0,r
92,3.68,387.0,r
93,3.72,374.0,S
94,3.76,374.0,S
95,3.8,380.0,S
96,3.84,788.0,r
97,3.88,735.0,S
98,3.92,735.0,S
99,3.96,735.0,S
100,4.0,735.0,S
101,4.04,735.0,S
102,4.08,735.0,S
103,4.12,735.0,S
104,4.16,735.0,S
105,4.2,735.0,S
106,4.24,735.0,S
107,4.28,735.0,S
108,4.32,735.0,S
109,4.36,735.0,S
110,4.4,735.0,S
111,4.44,735.0,S
112,4.48,735.0,S
113,4.52,735.0,S
114,4.56,735.0,S
115,4.6,760.0,S
116,4.64,735.0,S
117,4.68,735.0,S
118,4.72,735.0,S
119,4.76,735.0,S
120,4.8,760.0,S
121,4.84,735.0,S
122,4.88,735.0,S
123,4.92,735.0,S
124,4.96,760.0,S
125,5.0,735.0,S
126,5.04,735.0,S
127,5.08,735.0,S
128,5.12,735.0,S
129,5.16,735.0,S
130,5.2,735.0,S
131,5.24,735.0,S
132,5.28,735.0,S
133,5.32,374.0,S
134,5.36,735.0,S
135,5.4,735.0,S
136,5.44,735.0,S
137,5.48,735.0,S
138,5.52,735.0,S
139,5.56,735.0,S
140,5.6,735.0,S
141,5.64,735.0,S
142,5.68,735.0,S
143,5.72,735.0,S
144,5.76,735.0,S
145,5.8,735.0,S
146,5.84,374.0,S
147,5.88,735.0,S
148,5.92,735.0,S
149,5.96,735.0,S
