,Time (s),Frequency,Swara
0,0.0,551.0,P
1,0.04,551.0,P
2,0.08,551.0,P
3,0.12,551.0,P
4,0.16,551.0,P
5,0.2,551.0,P
6,0.24,538.0,M*
7,0.28,513.0,M*
8,0.32,551.0,P
9,0.36,596.0,d
10,0.4,580.0,d
11,0.44,551.0,P
12,0.48,538.0,M*
13,0.52,538.0,M*
14,0.56,551.0,P
15,0.6,551.0,P
16,0.64,551.0,P
17,0.68,551.0,P
18,0.72,551.0,P
19,0.76,551.0,P
20,0.8,525.0,M*
21,0.84,538.0,M*
22,0.88,565.0,P
23,0.92,612.0,D
24,0.96,565.0,P
25,1.0,551.0,P
26,1.04,538.0,M*
27,1.08,538.0,M*
28,1.12,551.0,P
29,1.16,551.0,P
30,1.2,551.0,P
31,1.24,551.0,P
32,1.28,551.0,P
33,1.32,538.0,M*
34,1.36,551.0,P
35,1.4,565.0,P
36,1.44,612.0,D
37,1.48,551.0,P
38,1.52,551.0,P
39,1.56,538.0,M*
40,1.6,538.0,M*
41,1.64,580.0,d
42,1.68,596.0,d
43,1.72,580.0,d
44,1.76,551.0,P
45,1.8,538.0,M*
46,1.84,551.0,P
47,1.88,596.0,d
48,1.92,596.0,d
49,1.96,551.0,P
50,2.0,551.0,P
51,2.04,538.0,M*
52,2.08,551.0,P
53,2.12,551.0,P
54,2.16,551.0,P
55,2.2,551.0,P
56,2.24,551.0,P
57,2.28,551.0,P
58,2.32,551.0,P
59,2.36,551.0,P
60,2.4,551.0,P
61,2.44,551.0,P
62,2.48,551.0,P
63,2.52,551.0,P
64,2.56,551.0,P
65,2.6,551.0,P
66,2.64,551.0,P
67,2.68,551.0,P
68,2.72,538.0,M*
69,2.76,513.0,M*
70,2.8,538.0,M*
71,2.84,538.0,M*
72,2.88,501.0,M
73,2.92,501.0,M
74,2.96,538.0,M*
75,3.0,551.0,P
76,3.04,551.0,P
77,3.08,551.0,P
78,3.12,538.0,M*
79,3.16,551.0,P
80,3.2,538.0,M*
81,3.24,538.0,M*
82,3.28,525.0,M*
83,3.32,538.0,M*
84,3.36,551.0,P
85,3.4,551.0,P
86,3.44,551.0,P
87,3.48,551.0,P
88,3.52,551.0,P
89,3.56,551.0,P
90,3.6,525.0,M*
91,3.64,538.0,M*
92,3.68,551.0,P
93,3.72,551.0,P
94,3.76,551.0,P
95,3.8,551.0,P
96,3.84,551.0,P
97,3.88,580.0,d
98,3.92,490.0,M
99,3.96,490.0,M
100,4.0,490.0,M
101,4.04,501.0,M
102,4.08,490.0,M
103,4.12,501.0,M
104,4.16,501.0,M
105,4.2,501.0,M
106,4.24,501.0,M
107,4.28,501.0,M
108,4.32,501.0,M
109,4.36,501.0,M
110,4.4,501.0,M
111,4.44,501.0,M
112,4.48,490.0,M
113,4.52,501.0,M
114,4.56,501.0,M
115,4.6,501.0,M
116,4.64,501.0,M
117,4.68,501.0,M
118,4.72,501.0,M
119,4.76,501.0,M
120,4.8,501.0,M
121,4.84,501.0,M
122,4.88,501.0,M
123,4.92,501.0,M
124,4.96,501.0,M
125,5.0,501.0,M
126,5.04,501.0,M
127,5.08,501.0,M
128,5.12,501.0,M
129,5.16,501.0,M
130,5.2,501.0,M
131,5.24,501.0,M
132,5.28,501.0,M
133,5.32,501.0,M
134,5.36,501.0,M
135,5.4,501.0,M
136,5.44,501.0,M
137,5.48,490.0,M
138,5.52,501.0,M
139,5.56,490.0,M
140,5.6,490.0,M
141,5.64,490.0,M
142,5.68,501.0,M
143,5.72,501.0,M
144,5.76,501.0,M
145,5.8,501.0,M
146,5.84,490.0,M
147,5.88,490.0,M
148,5.92,490.0,M
149,5.96,490.0,M
