,Time (s),Frequency,Swara
0,0.0,192.0,S
1,0.04,161.0,D
2,0.08,192.0,S
3,0.12,334.0,n
4,0.16,329.0,n
5,0.2,227.0,g
6,0.24,227.0,g
7,0.28,469.0,G
8,0.32,2005.0,M
9,0.36,2005.0,M
10,0.4,1002.0,M
11,0.44,306.0,D
12,0.48,324.0,n
13,0.52,108.0,g
14,0.56,108.0,g
15,0.6,108.0,g
16,0.64,108.0,g
17,0.68,108.0,g
18,0.72,160.0,D
19,0.76,162.0,n
20,0.8,144.0,d
21,0.84,93.0,S
22,0.88,93.0,S
23,0.92,329.0,n
24,0.96,329.0,n
25,1.0,214.0,R
26,1.04,216.0,g
27,1.08,128.0,M*
28,1.12,216.0,g
29,1.16,2005.0,M
30,1.2,2205.0,P
31,1.24,216.0,g
32,1.28,216.0,g
33,1.32,216.0,g
34,1.36,108.0,g
35,1.4,882.0,g
36,1.44,108.0,R
37,1.48,108.0,g
38,1.52,108.0,g
39,1.56,108.0,g
40,1.6,109.0,g
41,1.64,108.0,g
42,1.68,108.0,g
43,1.72,286.0,P
44,1.76,108.0,R
45,1.8,108.0,g
46,1.84,108.0,g
47,1.88,108.0,g
48,1.92,105.0,R
49,1.96,1838.0,G
50,2.0,2205.0,P
51,2.04,324.0,n
52,2.08,259.0,M*
53,2.12,513.0,M*
54,2.16,113.0,g
55,2.2,104.0,R
56,2.24,108.0,g
57,2.28,108.0,g
58,2.32,108.0,g
59,2.36,123.0,M
60,2.4,58.0,G
61,2.44,108.0,g
62,2.48,107.0,R
63,2.52,108.0,g
64,2.56,108.0,R
65,2.6,108.0,R
66,2.64,108.0,R
67,2.68,108.0,g
68,2.72,128.0,M*
69,2.76,171.0,n
70,2.8,2005.0,M
71,2.84,2005.0,M
72,2.88,324.0,n
73,2.92,324.0,n
74,2.96,108.0,g
75,3.0,108.0,g
76,3.04,108.0,g
77,3.08,108.0,R
78,3.12,108.0,R
79,3.16,108.0,g
80,3.2,108.0,R
81,3.24,432.0,g
82,3.28,432.0,g
83,3.32,432.0,g
84,3.36,108.0,g
85,3.4,108.0,g
86,3.44,108.0,g
87,3.48,108.0,g
88,3.52,108.0,g
89,3.56,817.0,R
90,3.6,127.0,M
91,3.64,2005.0,M
92,3.68,324.0,n
93,3.72,324.0,n
94,3.76,108.0,g
95,3.8,111.0,g
96,3.84,107.0,R
97,3.88,108.0,R
98,3.92,103.0,R
99,3.96,103.0,R
100,4.0,127.0,M
101,4.04,127.0,M
102,4.08,108.0,g
103,4.12,108.0,R
104,4.16,817.0,R
105,4.2,817.0,R
106,4.24,108.0,g
107,4.28,216.0,g
108,4.32,108.0,g
109,4.36,216.0,g
110,4.4,1050.0,M*
111,4.44,2005.0,M
112,4.48,216.0,g
113,4.52,216.0,g
114,4.56,216.0,g
115,4.6,121.0,M
116,4.64,107.0,R
117,4.68,107.0,R
118,4.72,107.0,R
119,4.76,108.0,R
120,4.8,109.0,g
121,4.84,96.0,r
122,4.88,96.0,r
123,4.92,96.0,r
124,4.96,96.0,r
125,5.0,128.0,M*
126,5.04,163.0,n
127,5.08,162.0,n
128,5.12,242.0,M
129,5.16,242.0,M
130,5.2,345.0,N
131,5.24,2005.0,M
132,5.28,2005.0,M
133,5.32,256.0,M*
134,5.36,256.0,M*
135,5.4,129.0,M*
136,5.44,111.0,g
137,5.48,107.0,R
138,5.52,107.0,R
139,5.56,107.0,R
140,5.6,96.0,r
141,5.64,125.0,M
142,5.68,128.0,M*
143,5.72,103.0,R
144,5.76,103.0,R
145,5.8,103.0,R
146,5.84,128.0,M*
147,5.88,108.0,g
148,5.92,108.0,g
149,5.96,216.0,g
