,Time (s),Frequency,Swara
0,0.0,339.0,n
1,0.04,345.0,N
2,0.08,345.0,N
3,0.12,345.0,N
4,0.16,350.0,N
5,0.2,350.0,N
6,0.24,350.0,N
7,0.28,350.0,N
8,0.32,350.0,N
9,0.36,350.0,N
10,0.4,350.0,N
11,0.44,350.0,N
12,0.48,356.0,N
13,0.52,356.0,N
14,0.56,356.0,N
15,0.6,356.0,N
16,0.64,356.0,N
17,0.68,350.0,N
18,0.72,350.0,N
19,0.76,356.0,N
20,0.8,361.0,N
21,0.84,356.0,N
22,0.88,345.0,N
23,0.92,350.0,N
24,0.96,356.0,N
25,1.0,356.0,N
26,1.04,350.0,N
27,1.08,345.0,N
28,1.12,350.0,N
29,1.16,356.0,N
30,1.2,356.0,N
31,1.24,350.0,N
32,1.28,345.0,N
33,1.32,350.0,N
34,1.36,350.0,N
35,1.4,356.0,N
36,1.44,356.0,N
37,1.48,356.0,N
38,1.52,356.0,N
39,1.56,350.0,N
40,1.6,345.0,N
41,1.64,329.0,n
42,1.68,311.0,D
43,1.72,306.0,D
44,1.76,298.0,d
45,1.8,294.0,d
46,1.84,286.0,P
47,1.88,283.0,P
48,1.92,272.0,P
49,1.96,262.0,M*
50,2.0,262.0,M*
51,2.04,262.0,M*
52,2.08,259.0,M*
53,2.12,262.0,M*
54,2.16,279.0,P
55,2.2,329.0,n
56,2.24,329.0,n
57,2.28,339.0,n
58,2.32,283.0,P
59,2.36,339.0,n
60,2.4,350.0,N
61,2.44,320.0,D
62,2.48,329.0,n
63,2.52,156.0,D
64,2.56,155.0,D
65,2.6,155.0,D
66,2.64,155.0,D
67,2.68,155.0,D
68,2.72,155.0,D
69,2.76,262.0,M*
70,2.8,269.0,M*
71,2.84,269.0,M*
72,2.88,269.0,M*
73,2.92,279.0,P
74,2.96,290.0,d
75,3.0,294.0,d
76,3.04,298.0,d
77,3.08,294.0,d
78,3.12,294.0,d
79,3.16,298.0,d
80,3.2,306.0,D
81,3.24,311.0,D
82,3.28,311.0,D
83,3.32,311.0,D
84,3.36,311.0,D
85,3.4,311.0,D
86,3.44,311.0,D
87,3.48,311.0,D
88,3.52,311.0,D
89,3.56,311.0,D
90,3.6,311.0,D
91,3.64,311.0,D
92,3.68,311.0,D
93,3.72,311.0,D
94,3.76,311.0,D
95,3.8,315.0,D
96,3.84,315.0,D
97,3.88,315.0,D
98,3.92,315.0,D
99,3.96,315.0,D
100,4.0,315.0,D
101,4.04,315.0,D
102,4.08,315.0,D
103,4.12,315.0,D
104,4.16,315.0,D
105,4.2,315.0,D
106,4.24,315.0,D
107,4.28,311.0,D
108,4.32,298.0,d
109,4.36,294.0,d
110,4.4,283.0,P
111,4.44,276.0,P
112,4.48,266.0,M*
113,4.52,262.0,M*
114,4.56,253.0,M
115,4.6,235.0,G
116,4.64,232.0,G
117,4.68,235.0,G
118,4.72,232.0,G
119,4.76,237.0,G
120,4.8,259.0,M*
121,4.84,286.0,P
122,4.88,306.0,D
123,4.92,306.0,D
124,4.96,298.0,d
125,5.0,290.0,d
126,5.04,290.0,d
127,5.08,290.0,d
128,5.12,311.0,D
129,5.16,311.0,D
130,5.2,311.0,D
131,5.24,311.0,D
132,5.28,311.0,D
133,5.32,155.0,D
134,5.36,155.0,D
135,5.4,155.0,D
136,5.44,276.0,P
137,5.48,311.0,D
138,5.52,311.0,D
139,5.56,311.0,D
140,5.6,311.0,D
141,5.64,298.0,d
142,5.68,290.0,d
143,5.72,279.0,P
144,5.76,269.0,M*
145,5.8,259.0,M*
146,5.84,248.0,M
147,5.88,237.0,G
148,5.92,237.0,G
149,5.96,235.0,G
