,Time (s),Frequency,Swara
0,0.0,424.0,R
1,0.04,432.0,g
2,0.08,432.0,g
3,0.12,432.0,g
4,0.16,432.0,g
5,0.2,424.0,R
6,0.24,424.0,R
7,0.28,424.0,R
8,0.32,432.0,g
9,0.36,441.0,g
10,0.4,432.0,g
11,0.44,424.0,R
12,0.48,416.0,R
13,0.52,441.0,g
14,0.56,424.0,R
15,0.6,416.0,R
16,0.64,416.0,R
17,0.68,416.0,R
18,0.72,416.0,R
19,0.76,416.0,R
20,0.8,416.0,R
21,0.84,416.0,R
22,0.88,416.0,R
23,0.92,416.0,R
24,0.96,416.0,R
25,1.0,416.0,R
26,1.04,416.0,R
27,1.08,416.0,R
28,1.12,416.0,R
29,1.16,416.0,R
30,1.2,416.0,R
31,1.24,416.0,R
32,1.28,416.0,R
33,1.32,416.0,R
34,1.36,416.0,R
35,1.4,416.0,R
36,1.44,416.0,R
37,1.48,416.0,R
38,1.52,416.0,R
39,1.56,416.0,R
40,1.6,416.0,R
41,1.64,416.0,R
42,1.68,416.0,R
43,1.72,416.0,R
44,1.76,416.0,R
45,1.8,416.0,R
46,1.84,416.0,R
47,1.88,416.0,R
48,1.92,416.0,R
49,1.96,416.0,R
50,2.0,416.0,R
51,2.04,416.0,R
52,2.08,416.0,R
53,2.12,416.0,R
54,2.16,416.0,R
55,2.2,416.0,R
56,2.24,416.0,R
57,2.28,416.0,R
58,2.32,416.0,R
59,2.36,416.0,R
60,2.4,416.0,R
61,2.44,416.0,R
62,2.48,416.0,R
63,2.52,416.0,R
64,2.56,416.0,R
65,2.6,416.0,R
66,2.64,416.0,R
67,2.68,416.0,R
68,2.72,416.0,R
69,2.76,416.0,R
70,2.8,416.0,R
71,2.84,416.0,R
72,2.88,416.0,R
73,2.92,416.0,R
74,2.96,416.0,R
75,3.0,416.0,R
76,3.04,416.0,R
77,3.08,416.0,R
78,3.12,416.0,R
79,3.16,416.0,R
80,3.2,416.0,R
81,3.24,416.0,R
82,3.28,416.0,R
83,3.32,416.0,R
84,3.36,416.0,R
85,3.4,416.0,R
86,3.44,416.0,R
87,3.48,416.0,R
88,3.52,416.0,R
89,3.56,416.0,R
90,3.6,416.0,R
91,3.64,416.0,R
92,3.68,416.0,R
93,3.72,416.0,R
94,3.76,416.0,R
95,3.8,416.0,R
96,3.84,416.0,R
97,3.88,416.0,R
98,3.92,416.0,R
99,3.96,416.0,R
100,4.0,416.0,R
101,4.04,416.0,R
102,4.08,416.0,R
103,4.12,416.0,R
104,4.16,416.0,R
105,4.2,416.0,R
106,4.24,416.0,R
107,4.28,416.0,R
108,4.32,416.0,R
109,4.36,416.0,R
110,4.4,416.0,R
111,4.44,416.0,R
112,4.48,416.0,R
113,4.52,416.0,R
114,4.56,416.0,R
115,4.6,416.0,R
116,4.64,416.0,R
117,4.68,416.0,R
118,4.72,416.0,R
119,4.76,416.0,R
120,4.8,416.0,R
121,4.84,416.0,R
122,4.88,416.0,R
123,4.92,416.0,R
124,4.96,416.0,R
125,5.0,416.0,R
126,5.04,416.0,R
127,5.08,416.0,R
128,5.12,408.0,R
129,5.16,416.0,R
130,5.2,416.0,R
131,5.24,416.0,R
132,5.28,416.0,R
133,5.32,416.0,R
134,5.36,416.0,R
135,5.4,416.0,R
136,5.44,416.0,R
137,5.48,408.0,R
138,5.52,408.0,R
139,5.56,408.0,R
140,5.6,408.0,R
141,5.64,416.0,R
142,5.68,416.0,R
143,5.72,416.0,R
144,5.76,416.0,R
145,5.8,416.0,R
146,5.84,416.0,R
147,5.88,416.0,R
148,5.92,416.0,R
149,5.96,416.0,R
