,Time (s),Frequency,Swara
0,0.0,401.0,r
1,0.04,394.0,r
2,0.08,401.0,r
3,0.12,401.0,r
4,0.16,401.0,r
5,0.2,401.0,r
6,0.24,401.0,r
7,0.28,401.0,r
8,0.32,401.0,r
9,0.36,401.0,r
10,0.4,401.0,r
11,0.44,408.0,R
12,0.48,408.0,R
13,0.52,401.0,r
14,0.56,394.0,r
15,0.6,387.0,r
16,0.64,394.0,r
17,0.68,374.0,S
18,0.72,380.0,S
19,0.76,374.0,S
20,0.8,374.0,S
21,0.84,374.0,S
22,0.88,374.0,S
23,0.92,368.0,S
24,0.96,368.0,S
25,1.0,368.0,S
26,1.04,368.0,S
27,1.08,361.0,N
28,1.12,368.0,S
29,1.16,356.0,N
30,1.2,361.0,N
31,1.24,356.0,N
32,1.28,339.0,n
33,1.32,329.0,n
34,1.36,334.0,n
35,1.4,339.0,n
36,1.44,334.0,n
37,1.48,361.0,N
38,1.52,368.0,S
39,1.56,374.0,S
40,1.6,368.0,S
41,1.64,374.0,S
42,1.68,368.0,S
43,1.72,368.0,S
44,1.76,374.0,S
45,1.8,374.0,S
46,1.84,380.0,S
47,1.88,374.0,S
48,1.92,374.0,S
49,1.96,374.0,S
50,2.0,374.0,S
51,2.04,374.0,S
52,2.08,387.0,r
53,2.12,408.0,R
54,2.16,416.0,R
55,2.2,424.0,R
56,2.24,424.0,R
57,2.28,432.0,g
58,2.32,432.0,g
59,2.36,432.0,g
60,2.4,432.0,g
61,2.44,432.0,g
62,2.48,424.0,R
63,2.52,424.0,R
64,2.56,424.0,R
65,2.6,424.0,R
66,2.64,424.0,R
67,2.68,416.0,R
68,2.72,424.0,R
69,2.76,416.0,R
70,2.8,401.0,r
71,2.84,401.0,r
72,2.88,394.0,r
73,2.92,387.0,r
74,2.96,374.0,S
75,3.0,380.0,S
76,3.04,387.0,r
77,3.08,387.0,r
78,3.12,387.0,r
79,3.16,387.0,r
80,3.2,387.0,r
81,3.24,394.0,r
82,3.28,387.0,r
83,3.32,387.0,r
84,3.36,394.0,r
85,3.4,394.0,r
86,3.44,387.0,r
87,3.48,394.0,r
88,3.52,387.0,r
89,3.56,387.0,r
90,3.6,394.0,r
91,3.64,394.0,r
92,3.68,394.0,r
93,3.72,401.0,r
94,3.76,394.0,r
95,3.8,394.0,r
96,3.84,401.0,r
97,3.88,394.0,r
98,3.92,387.0,r
99,3.96,394.0,r
100,4.0,394.0,r
101,4.04,394.0,r
102,4.08,394.0,r
103,4.12,394.0,r
104,4.16,387.0,r
105,4.2,394.0,r
106,4.24,408.0,R
107,4.28,394.0,r
108,4.32,394.0,r
109,4.36,408.0,R
110,4.4,394.0,r
111,4.44,401.0,r
112,4.48,408.0,R
113,4.52,416.0,R
114,4.56,394.0,r
115,4.6,401.0,r
116,4.64,401.0,r
117,4.68,394.0,r
118,4.72,394.0,r
119,4.76,394.0,r
120,4.8,394.0,r
121,4.84,401.0,r
122,4.88,394.0,r
123,4.92,394.0,r
124,4.96,394.0,r
125,5.0,387.0,r
126,5.04,394.0,r
127,5.08,394.0,r
128,5.12,401.0,r
129,5.16,394.0,r
130,5.2,408.0,R
131,5.24,401.0,r
132,5.28,408.0,R
133,5.32,401.0,r
134,5.36,432.0,g
135,5.4,124.0,M
136,5.44,124.0,M
137,5.48,401.0,r
138,5.52,394.0,r
139,5.56,387.0,r
140,5.6,394.0,r
141,5.64,125.0,M
142,5.68,401.0,r
143,5.72,408.0,R
144,5.76,416.0,R
145,5.8,401.0,r
146,5.84,380.0,S
147,5.88,387.0,r
148,5.92,368.0,S
