,Time (s),Frequency,Swara
0,0.0,83.0,n
1,0.04,83.0,n
2,0.08,83.0,n
3,0.12,83.0,n
4,0.16,83.0,n
5,0.2,83.0,n
6,0.24,83.0,n
7,0.28,82.0,n
8,0.32,82.0,n
9,0.36,83.0,n
10,0.4,82.0,n
11,0.44,82.0,n
12,0.48,82.0,n
13,0.52,248.0,M
14,0.56,245.0,M
15,0.6,245.0,M
16,0.64,245.0,M
17,0.68,248.0,M
18,0.72,266.0,M*
19,0.76,276.0,P
20,0.8,294.0,d
21,0.84,306.0,D
22,0.88,311.0,D
23,0.92,315.0,D
24,0.96,315.0,D
25,1.0,320.0,D
26,1.04,320.0,D
27,1.08,320.0,D
28,1.12,320.0,D
29,1.16,324.0,n
30,1.2,324.0,n
31,1.24,324.0,n
32,1.28,324.0,n
33,1.32,324.0,n
34,1.36,324.0,n
35,1.4,324.0,n
36,1.44,324.0,n
37,1.48,324.0,n
38,1.52,324.0,n
39,1.56,324.0,n
40,1.6,324.0,n
41,1.64,324.0,n
42,1.68,324.0,n
43,1.72,320.0,D
44,1.76,320.0,D
45,1.8,320.0,D
46,1.84,302.0,d
47,1.88,294.0,d
48,1.92,298.0,d
49,1.96,298.0,d
50,2.0,298.0,d
51,2.04,302.0,d
52,2.08,306.0,D
53,2.12,315.0,D
54,2.16,311.0,D
55,2.2,315.0,D
56,2.24,82.0,n
57,2.28,82.0,n
58,2.32,329.0,n
59,2.36,324.0,n
60,2.4,324.0,n
61,2.44,82.0,n
62,2.48,334.0,n
63,2.52,334.0,n
64,2.56,82.0,n
65,2.6,82.0,n
66,2.64,324.0,n
67,2.68,329.0,n
68,2.72,329.0,n
69,2.76,324.0,n
70,2.8,82.0,n
71,2.84,143.0,P
72,2.88,82.0,n
73,2.92,156.0,D
74,2.96,82.0,n
75,3.0,156.0,D
76,3.04,329.0,n
77,3.08,356.0,N
78,3.12,368.0,S
79,3.16,368.0,S
80,3.2,368.0,S
81,3.24,368.0,S
82,3.28,368.0,S
83,3.32,368.0,S
84,3.36,368.0,S
85,3.4,368.0,S
86,3.44,368.0,S
87,3.48,368.0,S
88,3.52,368.0,S
89,3.56,368.0,S
90,3.6,368.0,S
91,3.64,368.0,S
92,3.68,368.0,S
93,3.72,368.0,S
94,3.76,368.0,S
95,3.8,368.0,S
96,3.84,368.0,S
97,3.88,368.0,S
98,3.92,368.0,S
99,3.96,368.0,S
100,4.0,368.0,S
101,4.04,368.0,S
102,4.08,368.0,S
103,4.12,368.0,S
104,4.16,368.0,S
105,4.2,368.0,S
106,4.24,368.0,S
107,4.28,368.0,S
108,4.32,368.0,S
109,4.36,368.0,S
110,4.4,368.0,S
111,4.44,368.0,S
112,4.48,368.0,S
113,4.52,368.0,S
114,4.56,368.0,S
115,4.6,368.0,S
116,4.64,368.0,S
117,4.68,368.0,S
118,4.72,368.0,S
119,4.76,368.0,S
120,4.8,368.0,S
121,4.84,368.0,S
122,4.88,368.0,S
123,4.92,368.0,S
124,4.96,368.0,S
125,5.0,368.0,S
126,5.04,368.0,S
127,5.08,368.0,S
128,5.12,368.0,S
129,5.16,368.0,S
130,5.2,368.0,S
131,5.24,368.0,S
132,5.28,368.0,S
133,5.32,368.0,S
134,5.36,368.0,S
135,5.4,368.0,S
136,5.44,368.0,S
137,5.48,368.0,S
138,5.52,361.0,N
139,5.56,361.0,N
140,5.6,361.0,N
141,5.64,356.0,N
142,5.68,356.0,N
143,5.72,350.0,N
144,5.76,350.0,N
145,5.8,345.0,N
146,5.84,345.0,N
147,5.88,350.0,N
148,5.92,361.0,N
149,5.96,361.0,N
