,Time (s),Frequency,Swara
0,0.0,324.0,n
1,0.04,324.0,n
2,0.08,324.0,n
3,0.12,324.0,n
4,0.16,324.0,n
5,0.2,324.0,n
6,0.24,324.0,n
7,0.28,329.0,n
8,0.32,324.0,n
9,0.36,324.0,n
10,0.4,329.0,n
11,0.44,329.0,n
12,0.48,329.0,n
13,0.52,329.0,n
14,0.56,329.0,n
15,0.6,329.0,n
16,0.64,329.0,n
17,0.68,329.0,n
18,0.72,329.0,n
19,0.76,329.0,n
20,0.8,329.0,n
21,0.84,329.0,n
22,0.88,329.0,n
23,0.92,329.0,n
24,0.96,329.0,n
25,1.0,329.0,n
26,1.04,329.0,n
27,1.08,329.0,n
28,1.12,329.0,n
29,1.16,329.0,n
30,1.2,329.0,n
31,1.24,329.0,n
32,1.28,329.0,n
33,1.32,329.0,n
34,1.36,329.0,n
35,1.4,329.0,n
36,1.44,329.0,n
37,1.48,329.0,n
38,1.52,329.0,n
39,1.56,329.0,n
40,1.6,329.0,n
41,1.64,334.0,n
42,1.68,334.0,n
43,1.72,334.0,n
44,1.76,329.0,n
45,1.8,329.0,n
46,1.84,329.0,n
47,1.88,329.0,n
48,1.92,329.0,n
49,1.96,329.0,n
50,2.0,329.0,n
51,2.04,329.0,n
52,2.08,329.0,n
53,2.12,329.0,n
54,2.16,329.0,n
55,2.2,329.0,n
56,2.24,334.0,n
57,2.28,334.0,n
58,2.32,334.0,n
59,2.36,334.0,n
60,2.4,339.0,n
61,2.44,334.0,n
62,2.48,334.0,n
63,2.52,334.0,n
64,2.56,334.0,n
65,2.6,339.0,n
66,2.64,334.0,n
67,2.68,334.0,n
68,2.72,334.0,n
69,2.76,334.0,n
70,2.8,334.0,n
71,2.84,324.0,n
72,2.88,329.0,n
73,2.92,324.0,n
74,2.96,315.0,D
75,3.0,83.0,n
76,3.04,83.0,n
77,3.08,165.0,n
78,3.12,320.0,D
79,3.16,166.0,n
80,3.2,165.0,n
81,3.24,83.0,n
82,3.28,166.0,n
83,3.32,166.0,n
84,3.36,165.0,n
85,3.4,165.0,n
86,3.44,83.0,n
87,3.48,83.0,n
88,3.52,83.0,n
89,3.56,166.0,n
90,3.6,83.0,n
91,3.64,166.0,n
92,3.68,165.0,n
93,3.72,83.0,n
94,3.76,83.0,n
95,3.8,165.0,n
96,3.84,83.0,n
97,3.88,123.0,M
98,3.92,123.0,M
99,3.96,123.0,M
100,4.0,83.0,n
101,4.04,83.0,n
102,4.08,174.0,N
103,4.12,161.0,D
104,4.16,83.0,n
105,4.2,124.0,M
106,4.24,124.0,M
107,4.28,123.0,M
108,4.32,123.0,M
109,4.36,123.0,M
110,4.4,123.0,M
111,4.44,123.0,M
112,4.48,123.0,M
113,4.52,123.0,M
114,4.56,124.0,M
115,4.6,124.0,M
116,4.64,124.0,M
117,4.68,124.0,M
118,4.72,124.0,M
119,4.76,124.0,M
120,4.8,565.0,P
121,4.84,551.0,P
122,4.88,124.0,M
123,4.92,83.0,n
124,4.96,83.0,n
125,5.0,538.0,M*
126,5.04,501.0,M
127,5.08,501.0,M
128,5.12,501.0,M
129,5.16,501.0,M
130,5.2,501.0,M
131,5.24,501.0,M
132,5.28,501.0,M
133,5.32,501.0,M
134,5.36,501.0,M
135,5.4,501.0,M
136,5.44,501.0,M
137,5.48,501.0,M
138,5.52,501.0,M
139,5.56,501.0,M
140,5.6,501.0,M
141,5.64,501.0,M
142,5.68,501.0,M
143,5.72,501.0,M
144,5.76,513.0,M*
145,5.8,538.0,M*
146,5.84,551.0,P
147,5.88,551.0,P
148,5.92,551.0,P
149,5.96,551.0,P
