,Time (s),Frequency,Swara
0,0.0,175.0,N
1,0.04,175.0,N
2,0.08,167.0,n
3,0.12,306.0,D
4,0.16,311.0,D
5,0.2,92.0,S
6,0.24,90.0,N
7,0.28,87.0,N
8,0.32,1161.0,d
9,0.36,1225.0,D
10,0.4,345.0,N
11,0.44,339.0,n
12,0.48,339.0,n
13,0.52,345.0,N
14,0.56,87.0,N
15,0.6,311.0,D
16,0.64,387.0,r
17,0.68,394.0,r
18,0.72,387.0,r
19,0.76,380.0,S
20,0.8,368.0,S
21,0.84,1050.0,M*
22,0.88,199.0,r
23,0.92,380.0,S
24,0.96,380.0,S
25,1.0,129.0,M*
26,1.04,93.0,S
27,1.08,94.0,S
28,1.12,100.0,r
29,1.16,90.0,N
30,1.2,100.0,r
31,1.24,408.0,R
32,1.28,102.0,R
33,1.32,100.0,r
34,1.36,94.0,S
35,1.4,94.0,S
36,1.44,95.0,S
37,1.48,99.0,r
38,1.52,401.0,r
39,1.56,100.0,r
40,1.6,93.0,S
41,1.64,92.0,S
42,1.68,51.0,r
43,1.72,202.0,r
44,1.76,401.0,r
45,1.8,408.0,R
46,1.84,394.0,r
47,1.88,356.0,N
48,1.92,97.0,r
49,1.96,88.0,N
50,2.0,100.0,r
51,2.04,97.0,r
52,2.08,100.0,r
53,2.12,401.0,r
54,2.16,408.0,R
55,2.2,408.0,R
56,2.24,401.0,r
57,2.28,401.0,r
58,2.32,401.0,r
59,2.36,401.0,r
60,2.4,401.0,r
61,2.44,401.0,r
62,2.48,200.0,r
63,2.52,401.0,r
64,2.56,401.0,r
65,2.6,401.0,r
66,2.64,416.0,R
67,2.68,450.0,g
68,2.72,459.0,G
69,2.76,100.0,r
70,2.8,89.0,N
71,2.84,90.0,N
72,2.88,882.0,g
73,2.92,408.0,R
74,2.96,882.0,g
75,3.0,94.0,S
76,3.04,92.0,S
77,3.08,102.0,r
78,3.12,91.0,S
79,3.16,92.0,S
80,3.2,441.0,g
81,3.24,882.0,g
82,3.28,469.0,G
83,3.32,459.0,G
84,3.36,2005.0,M
85,3.4,450.0,g
86,3.44,459.0,G
87,3.48,450.0,g
88,3.52,450.0,g
89,3.56,459.0,G
90,3.6,450.0,g
91,3.64,441.0,g
92,3.68,450.0,g
93,3.72,469.0,G
94,3.76,459.0,G
95,3.8,441.0,g
96,3.84,450.0,g
97,3.88,459.0,G
98,3.92,450.0,g
99,3.96,450.0,g
100,4.0,450.0,g
101,4.04,450.0,g
102,4.08,450.0,g
103,4.12,459.0,G
104,4.16,459.0,G
105,4.2,459.0,G
106,4.24,450.0,g
107,4.28,459.0,G
108,4.32,459.0,G
109,4.36,450.0,g
110,4.4,450.0,g
111,4.44,345.0,N
112,4.48,97.0,r
113,4.52,110.0,g
114,4.56,450.0,g
115,4.6,450.0,g
116,4.64,459.0,G
117,4.68,89.0,N
118,4.72,103.0,R
119,4.76,668.0,n
120,4.8,100.0,r
121,4.84,103.0,R
122,4.88,551.0,P
123,4.92,538.0,M*
124,4.96,551.0,P
125,5.0,580.0,d
126,5.04,580.0,d
127,5.08,101.0,r
128,5.12,98.0,r
129,5.16,98.0,r
130,5.2,97.0,r
131,5.24,102.0,R
132,5.28,103.0,R
133,5.32,88.0,N
134,5.36,95.0,S
135,5.4,294.0,d
136,5.44,302.0,d
137,5.48,97.0,r
138,5.52,99.0,r
139,5.56,630.0,D
140,5.6,99.0,r
141,5.64,101.0,r
142,5.68,99.0,r
143,5.72,103.0,R
144,5.76,94.0,S
145,5.8,102.0,R
146,5.84,102.0,R
147,5.88,102.0,R
148,5.92,103.0,R
